¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.5766
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.56003
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.54641
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.53572
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.52795
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.52311
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.52118
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.52216
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.99445
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.211656
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.446193
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.693216
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.948945
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.223778
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.53142
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.871427
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.245195
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.652782
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.102621
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.61857
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19689
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.85181
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62067
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.51325
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.52156
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.75976
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.29487
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.29457
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.58927
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.52328
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.50091
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.48149
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.46502
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.45147
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.44084
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.43312
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.42831
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.42639
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.42738
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.991247
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.208202
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.442458
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.688649
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.943905
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.218313
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.526229
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.86571
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.239058
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.64591
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.095576
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.610712
î(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18787
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8416
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60802
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.49725
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.50239
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.73427
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.25827
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.24441
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.52637
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.43177
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.40951
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.39019
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.3738
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.36032
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.34975
