¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
»(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87551
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49895
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19026
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01861
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55727
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27099
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32184
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05035
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91281
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.0214
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.48061
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.71598
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.70419
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.69482
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.125467
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.335386
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985482
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.240056
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.515035
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.812895
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.136643
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.489697
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.876168
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.300972
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.769962
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28381
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8548
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47883
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16763
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99595
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57365
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34351
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28431
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.10406
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25697
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00262
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.43188
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.73601
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.7242
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.03403
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.120393
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.329934
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.555345
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.233366
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.507779
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.805048
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.128124
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.480379
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.865932
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.289698
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.754699
±(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26545
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83429
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45897
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14528
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97349
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59111
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41728
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33397
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15931
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24147
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.80747
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.79252
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.7798
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.76991
(404.70, 13.99, 247.38) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.115341
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.324506
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.549499
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.22673
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.500625
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.797276
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.119624
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.471107
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.855825
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.278543
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.738336
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24725
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.814
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43934
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1235
(404.70, 13.99, 247.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95117
