¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¸(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52517
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55446
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23267
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.93805
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.196385
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475837
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.779087
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.109273
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.469989
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.873808
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.323828
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.836977
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41274
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06188
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79921
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65732
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6706
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58261
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60119
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1823
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941612
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.200221
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.479994
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.783607
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.114161
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.475342
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.877244
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.330178
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.845123
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42193
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07228
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8111
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67816
(378.01, 11.34, 324.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70027
