¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.12003
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.351432
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.607613
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.862276
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.10319
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.377035
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.657191
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.950271
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.26799
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.613443
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.990431
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.348686
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.72257
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02506
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34857
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8622
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37926
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.00017
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.7207
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.53543
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.45909
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.50017
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50386
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.91107
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.5676
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.59111
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.127624
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.360539
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.617511
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.875293
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.117192
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.388119
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.659462
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.952698
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.270613
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.616294
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.993563
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.370847
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.740566
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04424
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36906
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8748
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39311
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01235
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.73442
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.55098
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.47825
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.52382
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53775
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95063
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61447
³(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.63336
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.135292
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.369579
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.627337
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.888455
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.131353
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.390341
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.66187
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.955305
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.273414
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.619385
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.996906
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.393356
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.759319
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06423
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39042
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.88803
(396.87, 7.10, 364.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40766
