¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
å(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.736643
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.160587
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.629293
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15011
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73224
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 11.05236
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 11.02058
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 10.99061
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 10.96244
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 10.93604
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 10.9114
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 10.88848
(440.00, 14.74, 253.64) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 11.92484
(440.00, 14.74, 253.64) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 11.92899
(440.00, 14.74, 253.64) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 11.93492
(440.00, 14.74, 253.64) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 15.73703
(440.00, 14.74, 253.64) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 15.71926
(440.00, 14.74, 253.64) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 15.70386
(440.00, 14.74, 253.64) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 15.69084
(440.00, 14.74, 253.64) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 15.68017
(440.00, 14.74, 253.64) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 15.67186
(440.00, 14.74, 253.64) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 15.66589
(440.00, 14.74, 253.64) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 15.66227
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.00729
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.213343
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.435025
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.674145
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.933706
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.212494
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.515807
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.361756
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.748013
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.173122
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.643217
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16563
(440.00, 14.74, 253.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7496
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 10.88131
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 10.86068
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 10.84175
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 10.82449
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 10.8089
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 10.79496
(440.00, 14.74, 253.64) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 10.78267
(440.00, 14.74, 253.64) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 15.83477
(440.00, 14.74, 253.64) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 15.8097
(440.00, 14.74, 253.64) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 15.78706
