¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76391
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48415
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43339
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43826
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24333
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.49902
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.76477
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01809
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.25761
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50618
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.72817
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82687
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.92956
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.03631
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.14724
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.26246
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.38206
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50618
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63485
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.76833
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.258221
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.563416
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.89663
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.260962
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.663553
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.701101
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23583
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83467
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50973
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27649
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14392
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79721
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52114
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66547
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.62693
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.43205
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69347
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95317
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.18846
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.43257
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.68595
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.92082
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02171
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12662
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.23562
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.34892
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.46654
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.58862
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71532
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84723
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.99308
²(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.274892
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.581597
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.916537
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.28257
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.689652
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.72909
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26711
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86984
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5649
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32867
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1744
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83089
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55855
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90131
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.81891
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62692
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89331
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.12452
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.36438
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.61329
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.87169
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12021
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.22334
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.33051
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.44196
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.5577
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.67786
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.80365
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.94261
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.08664
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.23581
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.291443
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.599656
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.936309
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.304037
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.715588
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.756882
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29818
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90476
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62417
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39626
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28026
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91415
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61394
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14096
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.01421
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.82815
(374.86, 8.29, 342.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.06563
