¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¿(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.09824
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.10272
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.66793
(321.28, 7.25, 368.92) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.84536
(321.28, 7.25, 368.92) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.82894
(321.28, 7.25, 368.92) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.81461
(321.28, 7.25, 368.92) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.95862
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 23.14619
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 23.13399
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.4998
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.63564
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.65054
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.66698
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.69909
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 24.58548
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.206822
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467971
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.749936
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.055295
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.379311
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.734833
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.127687
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.559016
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03469
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33204
