¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
’(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76406
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.45118
(440.00, 14.03, 278.32) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 22.0264
(440.00, 14.03, 278.32) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 22.0068
(440.00, 14.03, 278.32) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 21.99052
(440.00, 14.03, 278.32) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 21.97754
(440.00, 14.03, 278.32) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 21.96785
(440.00, 14.03, 278.32) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 21.96144
(440.00, 14.03, 278.32) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 21.95832
(440.00, 14.03, 278.32) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 21.95847
(440.00, 14.03, 278.32) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 21.9619
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.826352
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.023647
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.240112
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.481333
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.743001
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.022876
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.335858
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.679646
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.054154
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.483892
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.963486
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.49821
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11048
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64748
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56379
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70246
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99294
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20133
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.49074
(440.00, 14.03, 278.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.71836
(440.00, 14.03, 278.32) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 22.09843
