¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ğ (335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.79268
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.75279
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.64352
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.27159
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.12726
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.301467
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.497145
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.727984
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.979992
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.256172
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.560123
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.8962
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.269713
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.687218
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.15689
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.689072
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.297028
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.998061
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.81519
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.8003
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.71054
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.36718
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.130932
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.30541
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.502683
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.734021
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.986598
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.26343
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.568132
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.905082
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.279615
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.698326
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.169433
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.703345
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.313413
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.01706
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.83747
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.85052
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.77609
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.46085
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.134624
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.309375
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.508151
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.739985
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.993123
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.270598
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.576045
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.913857
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.2894
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.709302
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.181831
Ö (335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.717457
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.329616
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.03585
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.84799
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.89986
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.84011
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.55251
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.138336
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.313362
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.513549
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.74587
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.999565
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.277678
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.583857
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.922523
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.299063
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.720146
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.194082
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.731404
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.345633
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.05443
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.85106
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.94827
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.90254
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.64205
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.142067
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.317369
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.518875
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.751677
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.005921
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.284662
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.591568
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.931077
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.308605
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.730854
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.206181
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.74518
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.361457
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.0728
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.86283
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.99572
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.94032
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.72936
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.145818
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.321396
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.524127
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.757406
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.012191
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.291553
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.599177
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.939517
× (335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.318021
