¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó(336.28, 7.06, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.730089
(336.28, 7.06, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.962452
(336.28, 7.06, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.20736
(336.28, 7.06, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.468663
(336.28, 7.06, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.750834
(336.28, 7.06, 323.74) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.98065
(336.28, 7.06, 323.74) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.949402
(336.28, 7.06, 323.74) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.927892
(336.28, 7.06, 323.74) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.924581
(336.28, 7.06, 323.74) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.922452
(336.28, 7.06, 323.74) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.921508
(336.28, 7.06, 323.74) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.921745
(336.28, 7.06, 323.74) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.923167
(336.28, 7.06, 323.74) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.138741
(336.28, 7.06, 323.74) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 8.142632
(336.28, 7.06, 323.74) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 8.147745
(336.28, 7.06, 323.74) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.154081
(336.28, 7.06, 323.74) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 8.161646
(336.28, 7.06, 323.74) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 8.170447
(336.28, 7.06, 323.74) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 8.18049
