¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.663091
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.903725
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.163503
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.444748
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.750186
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.111993
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.520142
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.972946
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12866
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93809
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12596
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89614
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48381
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92797
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00702
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8852
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.19679
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.02441
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.2714
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.25701
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.36368
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.33837
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.29534
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.2595
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.29033
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.34851
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.41287
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.4823
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.032614
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.228432
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.436299
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659549
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.899906
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.159378
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.440277
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.748415
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.115514
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.524038
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.977281
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13166
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85824
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01443
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85532
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4391
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68319
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94161
(325.27, 7.18, 392.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.81274
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.53101
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.85875
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.12125
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.10809
ç(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.21268
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.18701
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.15141
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.11483
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.1405
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.19874
(325.27, 7.18, 392.00) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.26211
