¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¿(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.278352
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.280943
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.278451
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.216015
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.25594
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.251069
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.272254
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.294437
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.320994
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.351016
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.382636
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.880534
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.161103
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.466729
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.800808
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.167461
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.571608
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.018246
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.301807
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.591848
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.902138
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23472
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62468
(321.31, 7.41, 371.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42949
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.350705
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.307351
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.240057
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.270252
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.301039
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.326486
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.238415
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.232344
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.22766
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.229299
(321.31, 7.41, 371.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.19132
