¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ğ(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06167
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.74806
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.57534
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.51994
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.65408
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.00899
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.6289
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.58406
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.32996
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.42221
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.40204
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.3854
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.37226
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.36263
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.35648
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.35383
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.35466
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.996102
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.198245
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.419394
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.651561
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.902219
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.173623
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.468404
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.789662
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.337735
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.597784
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.107678
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.743043
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39606
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06629
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75749
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.58385
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.53127
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.66589
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.01834
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.63966
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.596
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.33261
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.48369
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.46347
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.44678
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.4336
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.42393
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.41777
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.4151
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.41592
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.99825
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.198956
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.420624
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.652887
¹(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.903652
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.175177
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.470095
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.165263
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.219181
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.601147
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.111462
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.735632
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39805
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07096
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76709
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59244
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.54344
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.67779
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.02764
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.65133
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82032
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.33554
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.54903
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.52874
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.51199
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.49877
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.48907
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.48288
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.4802
(334.65, 7.47, 358.76) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.48102
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.000438
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19967
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.421889
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.65425
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.905127
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.176776
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.471834
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.005106
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.16641
(334.65, 7.47, 358.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.604371
