¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.99101
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.98292
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.97766
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.97524
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.97565
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.93106
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.023752
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.271147
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.537704
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.825814
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.13807
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.477602
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.848097
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.253857
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.700164
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19328
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71416
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25595
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73551
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15668
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61113
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1029
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67695
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49115
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 16.02712
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 16.11166
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.91199
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.89257
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.87602
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.8623
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.85142
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.84336
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.83812
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.83569
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.83607
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.79178
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.028224
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.275898
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.54289
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.831427
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.144142
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.484232
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.855324
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.2618
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.708933
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20301
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73813
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28248
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70975
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12895
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58122
´(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07058
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62138
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9854
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.9574
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 16.04109
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.77687
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.75757
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.74111
