¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¬(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05771
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04685
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65767
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.29959
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.99902
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88923
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.96346
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82854
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.60361
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.29081
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94263
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.206715
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492846
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.803823
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.143023
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.514351
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.922602
(413.38, 14.74, 312.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.373434
