¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.15801
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25233
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.64269
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.58005
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.78062
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.890102
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.998217
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.113154
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.235546
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.366118
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.505689
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.654064
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.812607
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.983101
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.166923
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.365658
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.58116
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.815658
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.071839
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.354415
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.665794
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.012761
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.396955
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.829763
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.323323
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.876321
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.517458
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26012
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.14432
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.2367
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.62294
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.54646
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.71594
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.888896
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.996938
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.111796
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.2341
(372.81, 7.00, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.364574
