¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.618535
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.453977
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.447491
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.229791
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.977009
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.299205
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.346617
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.505125
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.67643
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.859605
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.055956
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.267997
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.499435
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.74966
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.021026
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.316243
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638612
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.991896
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.380768
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.789999
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.239264
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.738476
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.301759
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.38209
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.361012
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.426044
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.567306
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.554927
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.634112
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.833181
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.819092
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.806357
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.647535
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 10.07745
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.155236
(416.09, 14.51, 246.24) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 18.78012
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.342983
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.502067
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.673169
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.856148
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.05226
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.262898
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493201
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.742902
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.013709
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.308275
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629898
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.982319
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.370243
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.779873
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.228062
ó(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.726012
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.294333
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.343462
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.322516
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.416941
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.565407
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.547862
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.808033
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.792681
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.778689
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.766047
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.697096
(416.09, 14.51, 246.24) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 20.93956
(416.09, 14.51, 246.24) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 18.89657
(416.09, 14.51, 246.24) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 18.88368
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.339447
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.499149
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.670047
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.852798
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.048671
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.259062
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.487115
