¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60406
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.92455
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.93809
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.78394
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.07121
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.24269
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.20238
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.9472
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.9186
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.63079
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.69153
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.62438
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.94816
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.94386
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.95537
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.04683
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.24303
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.44614
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.65992
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.275292
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.637544
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.042783
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.551721
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.122609
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.800529
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62825
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62074
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.94707
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95646
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.83858
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.16732
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.33316
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.28893
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.06221
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.03355
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.52661
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.50412
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.48503
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.46932
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.54428
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.35218
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.26277
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.46306
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.67039
(381.21, 14.26, 265.06) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 22.89535
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.282709
(381.21, 14.26, 265.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.645755
