¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
§(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92641
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74471
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84408
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32745
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.24013
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.24152
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.27197
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.32312
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.38459
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.45755
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.55163
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.66111
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.373105
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.628313
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.903035
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.18009
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.466434
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.774931
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.104753
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.454491
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.814307
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19479
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60761
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05697
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53162
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04651
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6162
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23381
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92319
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72837
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8302
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.30255
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.92059
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.48423
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.08838
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.06872
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.09789
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.14201
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.19392
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.25172
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.35611
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.49044
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.362512
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.616929
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.890777
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.173922
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.459817
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.767762
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.096503
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.445616
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.810451
¦(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19065
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60309
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05206
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52992
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04454
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6092
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23155
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92067
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71262
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81678
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27772
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.67136
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.49279
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.04905
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.01222
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.04366
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.08975
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.13949
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.19402
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.28622
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.43101
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.352003
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.605612
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.878562
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.167881
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.453307
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.760792
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.088505
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.436949
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.806929
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18681
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59893
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04752
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52862
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04315
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60771
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2299
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91882
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69755
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.80381
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25293
(424.99, 9.50, 363.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.30331
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.5053
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.06109
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 22.9741
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.00397
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.04989
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.09944
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.15267
(424.99, 9.50, 363.51) (437.56, 9.13, 322.03) (3.51, 3.07, 8.33) Truck 23.23781
