¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06868
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35006
(345.66, 7.13, 310.95) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 15.72508
(345.66, 7.13, 310.95) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 15.70084
(345.66, 7.13, 310.95) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 15.67901
(345.66, 7.13, 310.95) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 15.65958
(345.66, 7.13, 310.95) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 15.64253
(345.66, 7.13, 310.95) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 15.62785
(345.66, 7.13, 310.95) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 15.61552
(345.66, 7.13, 310.95) (323.45, 2.78, 317.64) (1.73, 1.29, 1.74) Tools 11.56429
(345.66, 7.13, 310.95) (323.45, 2.78, 317.64) (1.73, 1.29, 1.74) Tools 11.56544
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.105069
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.316442
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.543975
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.789603
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055443
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.344087
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.658549
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.002403
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.379892
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.796137
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.257355
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.711369
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19257
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71456
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29466
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0973
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07251
(345.66, 7.13, 310.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3752
(345.66, 7.13, 310.95) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 15.59636
(345.66, 7.13, 310.95) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 15.57233
(345.66, 7.13, 310.95) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 15.55068
(345.66, 7.13, 310.95) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 15.53141
(345.66, 7.13, 310.95) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 15.51451
