¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.232131
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.084987
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.067444
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.051141
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.842037
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.127549
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.11792
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.109088
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.101047
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.09379
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.087311
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.081608
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.076674
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.072504
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.069098
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.066453
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.064567
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.063436
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.063062
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.063443
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.064581
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.066476
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.236475
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456617
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.693944
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950449
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.223924
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49954
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.807255
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.387468
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.363826
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.486612
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.072718
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.055263
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.038826
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.023511
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.118585
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.10897
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.100152
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.092123
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.084876
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.078407
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.072711
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.067782
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.06362
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.060218
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.057575
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.055689
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.054559
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.054183
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.054562
ñ(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.055695
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.057585
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.230421
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.45016
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.686956
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.942871
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.217323
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.494578
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.801874
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.136703
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.502861
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.966057
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.942188
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.431334
(392.37, 13.82, 249.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44825
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.120813
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.11041
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.10081
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.092002
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.083984
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.076748
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.070287
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.064599
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.059676
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.055518
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.052119
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.049479
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.047594
(392.37, 13.82, 249.84) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.046463
