¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Õ(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.99882
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19331
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3971
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61078
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83512
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47561
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95979
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.76189
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.04401
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.24564
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.34175
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.86899
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.06993
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.286647
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.524084
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.246416
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.544903
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87027
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.226234
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.617241
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.867294
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.122279
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.393775
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.749002
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.946636
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13892
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34039
(349.08, 7.18, 357.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55161
