°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ç (382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.917523
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.02157
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.131927
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.249236
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.37679
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.512932
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.658534
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.113307
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.283247
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.481766
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.699487
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.93614
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.194266
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.476876
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.787621
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.130692
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.511538
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970407
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.539478
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.19757
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.967164
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92309
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16166
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90172
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.52007
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.59633
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.911126
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.0148
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.124751
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.241544
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.368143
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.503706
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.648668
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.804014
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.270656
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.470784
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.687582
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.923191
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.180145
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.461383
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.770511
(382.55, 11.11, 325.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.108955
