¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.419327
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.603994
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.802588
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.009902
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.211964
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.421527
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.646749
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.88941
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.149794
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.429646
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.733512
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.064549
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.425332
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.822445
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.268413
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.749573
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.28648
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86608
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51991
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24685
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.04415
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95331
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.94115
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.07252
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.2917
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.61179
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.3353
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.32834
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.935744
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.086365
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.246871
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.418974
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.603615
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.802179
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.0097
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.210929
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.420416
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.645555
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.888124
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148442
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.428186
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.731927
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.062822
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.423572
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.820512
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.266178
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.745504
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.28162
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.85956
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51111
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23683
î(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.03127
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.93735
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92038
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.04239
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.23526
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.54087
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.21735
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.16965
(386.43, 7.41, 356.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.935511
