¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
“(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.106064
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346323
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607268
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.883227
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.180313
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495226
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.794963
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.120983
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.476748
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.866515
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.295277
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.769156
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35976
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03284
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80133
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86776
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2973
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57688
(353.01, 9.10, 316.25) (326.43, 1.99, 304.25) (5.85, 2.95, 8.46) Truck 11.41137
(353.01, 9.10, 316.25) (326.43, 1.99, 304.25) (5.85, 2.95, 8.46) Truck 11.4226
(353.01, 9.10, 316.25) (326.43, 1.99, 304.25) (5.85, 2.95, 8.46) Truck 11.22098
(353.01, 9.10, 316.25) (326.43, 1.99, 304.25) (5.85, 2.95, 8.46) Truck 11.0141
(353.01, 9.10, 316.25) (326.43, 1.99, 304.25) (5.85, 2.95, 8.46) Truck 10.94296
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.704592
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.83474
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.973027
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.123564
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.287875
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.463933
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.653002
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.85652
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.076187
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.313938
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.572107
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.850732
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.144863
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.451828
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747936
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.069827
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.420909
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.805349
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.233931
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.717519
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25549
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91456
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66596
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69483
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10567
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39675
(353.01, 9.10, 316.25) (326.43, 1.99, 304.25) (5.85, 2.95, 8.46) Truck 11.48409
(353.01, 9.10, 316.25) (326.43, 1.99, 304.25) (5.85, 2.95, 8.46) Truck 11.49081
(353.01, 9.10, 316.25) (326.43, 1.99, 304.25) (5.85, 2.95, 8.46) Truck 11.32446
(353.01, 9.10, 316.25) (326.43, 1.99, 304.25) (5.85, 2.95, 8.46) Truck 11.10339
(353.01, 9.10, 316.25) (326.43, 1.99, 304.25) (5.85, 2.95, 8.46) Truck 10.92198
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.6866
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.81565
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.952765
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.103006
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.265924
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.440399
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.627711
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.829318
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.046779
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.28212
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.53752
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.815597
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.110059
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.409353
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.701939
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.019829
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.366369
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.758271
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.190714
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.665974
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15408
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79959
(353.01, 9.10, 316.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53458
