¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ê(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.141736
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.44053
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.76663
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.123892
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.516936
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.951352
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.433949
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.964613
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55064
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86255
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60996
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46005
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43532
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55808
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60787
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.30424
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.32726
(335.97, 7.51, 351.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.09109
(336.02, 7.48, 351.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.401651
(336.02, 7.48, 351.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.630585
(336.02, 7.48, 351.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856295
(336.02, 7.48, 351.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.091569
(336.02, 7.48, 351.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.344706
(336.02, 7.48, 351.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.617809
(336.02, 7.48, 351.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.913173
(336.02, 7.48, 351.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23369
