¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ó(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.130889
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419029
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.732664
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.043517
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.266564
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.503682
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.782099
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.128701
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.505268
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.866271
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.83137
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.799315
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.774076
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.755259
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.74256
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.735853
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.735191
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.735983
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.56112
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.55156
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.621064
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.0231
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.731798
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.735224
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.740106
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.746408
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.754115
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.189491
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.395566
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.617248
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.862626
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128041
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.415943
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.729263
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.039165
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.261993
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.498788
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.805807
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.154406
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.533219
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.830717
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.798939
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.770933
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.744759
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.727522
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.714592
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.707736
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.70234
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.841934
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.51927
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.675673
ç(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.733866
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.995373
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.734859
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.744925
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.750257
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.7569
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.765008
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.185489
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.391235
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.614794
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860029
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.125205
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.412854
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.725936
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.035261
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.257842
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.506412
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.830016
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.18063
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.561746
(397.63, 13.95, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19916
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.772087
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.744177
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.720756
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.70356
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.688452
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.681593
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.755339
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.601578
(397.63, 13.95, 247.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.609553
