¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
±(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.078104
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.370524
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.689357
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.03822
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.421588
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.844757
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.259362
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.923603
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.122786
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.33684
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.567355
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81641
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.086127
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.379262
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.698863
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.04869
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.433133
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.857502
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.264834
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.712122
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.929141
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.12876
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.343211
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574272
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.823835
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.094232
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.388049
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.7085
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.05923
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.44474
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.863483
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.270589
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.71843
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.934725
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.13471
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.349626
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.581182
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.831344
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102341
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.396923
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.718161
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.06983
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.456399
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.868905
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.276548
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.724996
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.940321
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.140728
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.356131
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588172
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.838906
º(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.11055
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.405821
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.727921
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.080533
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.468184
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.874576
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.282767
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.731852
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.945951
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.146786
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.362614
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.595225
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.846503
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.118791
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.414802
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.737708
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.091276
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.48003
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.88047
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.289234
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.738957
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.951625
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.152861
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.369183
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.602285
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.854124
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.127085
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.423841
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747602
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.102105
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.491964
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.886554
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.295952
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.746359
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.957347
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.158995
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.375772
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609385
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.861834
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.135434
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.432926
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.757505
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.113022
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.503996
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.892903
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.302883
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.754015
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.963047
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.165165
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.382381
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.616535
´(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.869583
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.143854
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.442088
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.767534
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.123987
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.516078
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.899466
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.31007
(401.45, 14.89, 309.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.76194
(401.22, 14.88, 309.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.01397
(401.22, 14.88, 309.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.169053
(401.22, 14.88, 309.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.27075
(401.22, 14.88, 309.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.376809
(401.22, 14.88, 309.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.487545
