¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
°(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54726
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96078
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40085
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82848
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21111
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.02776
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.259491
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.473256
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70175
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.929589
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.174572
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.455855
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.769307
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.111536
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.486628
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.841781
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.255918
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.704493
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16411
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67986
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24347
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38211
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64973
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93119
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22744
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53963
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86907
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43295
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83977
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24835
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60067
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.97212
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36417
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.249885
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.462938
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.692063
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.921309
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.165662
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.444085
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.756482
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.09751
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.471228
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.833235
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.246524
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.701908
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16054
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67591
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84097
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4128
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68184
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96477
®(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26264
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5766
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90788
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.262
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7135
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03888
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.38133
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74215
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12275
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.52475
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.240325
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.452672
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.68101
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913143
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.156877
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.432378
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.74373
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.083564
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.455916
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.82785
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.237302
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.69173
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15726
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67228
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83935
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4449
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71543
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99994
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29951
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61531
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94858
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27856
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51141
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83702
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17009
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52079
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89057
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28083
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.230813
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.442457
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.670014
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.90509
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148213
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.420736
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.731048
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.069699
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.440695
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.824338
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.22825
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.681735
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15425
Î(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.66895
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83814
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47847
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75057
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03672
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33807
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65576
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93332
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14593
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36732
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6137
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95555
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30768
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66713
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.04628
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44681
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.221347
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.432293
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659075
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.897152
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.139674
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.409159
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.718437
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.055915
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.425569
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.821074
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.219364
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.671929
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15153
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24811
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83731
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49361
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78722
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07516
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37835
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60838
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80892
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01755
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23476
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.46103
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72116
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07023
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43865
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82064
(425.25, 9.62, 362.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2098
