¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.239174
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.806588
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.32487
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.1504
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.14954
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.096335
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.81655
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.999133
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.194447
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.403905
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.634384
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.884403
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.155085
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449082
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.769506
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.120012
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.504005
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.913265
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.365331
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.886827
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.495992
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.467621
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.440825
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.418873
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.402461
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.39135
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.286551
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.274645
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.264152
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.255061
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.81609
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.34262
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.917492
(398.14, 14.02, 247.93) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.111969
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.814166
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.996555
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.191704
(398.14, 14.02, 247.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.400975
