¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
À(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28733
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.84942
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51802
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10084
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.88396
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.78879
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.27517
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.09142
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.06498
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.04129
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.19493
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.33333
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.1779
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.03247
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.08722
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.18305
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.27923
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.37521
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.47498
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.447116
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.83204
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.261643
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.759998
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.324827
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02197
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49042
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84491
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.31577
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.88087
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.58929
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18635
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.96157
(380.67, 14.79, 268.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.89792
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.3047
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.14375
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.11725
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.09353
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.37757
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.32067
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.17023
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.02492
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.04451
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.13984
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.23298
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.32845
(380.67, 14.79, 268.70) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.42769
