¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
£(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.72979
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99142
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46103
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.23121
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.40443
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.13536
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.192657
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.403229
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.4665
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505636
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.724813
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.020136
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.343544
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.717868
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.141189
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.604119
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.116561
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.714494
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34588
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09852
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.90978
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.79579
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.71611
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.01869
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48034
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.25466
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.43349
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.1724
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.19345
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.404074
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.563387
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.570971
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.722032
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.017095
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.340315
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.721067
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.144761
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.600636
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.124512
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.712358
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36305
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09946
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91967
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.74867
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.70226
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.00056
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.49973
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.27824
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.46274
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.20966
(324.34, 7.19, 395.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.194228
