¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Þ(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.53294
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.51952
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.50889
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.50102
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.49592
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.49358
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.49401
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.011104
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212401
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.428204
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.660568
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.912891
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.192183
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.496157
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.823034
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.180476
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.594498
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.058757
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.556968
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16002
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82561
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.48248
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24359
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.99924
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.19856
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96766
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62872
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.65373
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.53388
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.51212
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.49318
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.47702
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.46365
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.45305
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.44522
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.44014
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.43782
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.43825
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.011445
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212686
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.428511
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.660897
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913185
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.1925
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.496504
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.823048
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.180493
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.594237
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.057273
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.555311
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15741
ö(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82038
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4787
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24512
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.00225
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.22678
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95318
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61126
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63222
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.48086
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.45917
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.44028
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.42418
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.41086
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.4003
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.39249
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.38743
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.38512
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.38555
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.011813
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.213004
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.42885
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.661266
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913494
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.192836
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.496653
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.823102
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.180552
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.593935
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.055811
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.553681
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15466
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81515
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47524
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.2467
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.00582
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.25432
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.93887
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.59398
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61093
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.43088
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.40926
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.39044
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.37439
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.3611
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.35057
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.34279
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.33775
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.33546
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.33589
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.012207
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.213354
À(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.429227
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.661672
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.91382
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.193191
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.496737
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.823195
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.180654
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.593594
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.054371
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.552073
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15177
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80992
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47208
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24833
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.01688
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.28116
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.92471
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.57688
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.58993
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.38392
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.36236
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.34359
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.32758
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.31434
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.30384
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.29609
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.29107
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.28878
(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.28922
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.012629
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.213738
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.42964
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.662117
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.914164
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.193563
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.496862
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.823329
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.180799
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.593213
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.052954
