¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‚ (418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.113145
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.156825
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.202065
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.256945
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.350245
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.447344
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.646564
(418.64, 13.47, 327.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05526
(418.64, 13.47, 327.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51106
(418.64, 13.47, 327.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89468
(418.64, 13.47, 327.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30464
(418.64, 13.47, 327.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7436
(418.64, 13.47, 327.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70209
(418.64, 13.47, 327.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.32057
(418.64, 13.47, 327.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.32628
(418.64, 13.47, 327.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.33502
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.126577
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.086083
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.070795
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.056484
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.043139
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.03718
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.049202
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.062177
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.076118
(418.64, 13.47, 327.03) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 6.102705
