¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
›(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.211132
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.406037
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.62745
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.073851
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.609411
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.222554
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.5693
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.39729
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.84319
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.85659
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.018607
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.147088
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.282146
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.424241
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.573929
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.731759
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.898424
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.074644
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.261212
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.459016
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.76417
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.227058
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.784319
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.424012
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.50593
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.2183
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.56676
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.17158
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.052701
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.182826
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.319632
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.463598
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.615294
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.775329
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94437
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.123124
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.312438
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.531712
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.905967
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.386042
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.966245
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.634306
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.44495
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.96588
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.25547
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.51988
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.087492
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.219305
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.357888
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5038
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657569
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.819864
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.991283
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.172695
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.364861
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.664729
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.053104
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.551105
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.15571
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69786
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.38611
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.72256
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.05329
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.10679
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.123003
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.256529
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.396964
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.544866
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700777
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.865359
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.039279
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.223361
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.438159
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.802619
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.20591
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.72255
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.353079
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56688
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.32938
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.59746
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.86514
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.70621
(404.73, 12.55, 331.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.159218
