¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ï(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.63589
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.209739
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.439079
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.687042
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.955959
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.248538
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.57287
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.929386
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.324537
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.78666
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.286847
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.863226
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51598
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.31774
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27675
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.40278
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.88095
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.88887
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 14.0249
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.31874
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.29818
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.07581
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.91245
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.81601
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.72288
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.64658
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.58365
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.52321
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.4652
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.40957
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.43433
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.48693
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.207106
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.436235
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.683964
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.952613
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.244892
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.568851
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.925078
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.319773
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.781222
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.27959
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.854739
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50543
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30462
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.26091
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.384
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.86375
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.86329
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 14.02869
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.30919
÷(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.29046
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.06834
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.8554
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.67482
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.5836
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.49554
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.41054
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.33115
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.27484
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.24268
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.29185
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.34327
