¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
²(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.348979
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.584777
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.839859
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.116601
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417804
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746865
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.093833
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.325229
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.57154
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.846107
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.144161
(338.20, 7.64, 337.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.583427
(338.20, 7.64, 337.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.563418
(338.20, 7.64, 337.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.544777
(338.20, 7.64, 337.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.527483
(338.20, 7.64, 337.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.511529
(338.20, 7.64, 337.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.496902
(338.20, 7.64, 337.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.483585
(338.20, 7.64, 337.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.536775
(338.20, 7.64, 337.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.525976
(338.20, 7.64, 337.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.516476
(338.20, 7.64, 337.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.821557
(338.20, 7.64, 337.51) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.922104
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.957612
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.094737
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.240453
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.395625
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.561097
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.737914
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.927287
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.130495
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.349131
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.584983
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.840043
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.116783
(338.20, 7.64, 337.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.418041
