¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(377.54, 15.93, 285.68) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 17.5043
(377.54, 15.93, 285.68) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 17.48541
(377.54, 15.93, 285.68) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 18.86422
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.436958
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.602246
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.77998
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.967558
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.168521
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.384478
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.617129
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.867928
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.127409
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.406796
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.195838
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.547354
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.931746
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.353837
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.819342
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3352
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91002
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55432
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2815
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04232
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91303
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74759
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52473
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48928
(377.54, 15.93, 285.68) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 17.63371
(377.54, 15.93, 285.68) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 17.60401
(377.54, 15.93, 285.68) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 17.57702
(377.54, 15.93, 285.68) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 17.55273
