¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842703
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.099308
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.379232
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685266
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.018999
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.384331
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.785904
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.229382
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.806129
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.697362
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.674862
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.653766
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.634061
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.615725
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.598749
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.583117
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.775446
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.995472
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.427905
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.421535
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.416574
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.413025
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.588405
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.587653
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.588332
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.590446
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.593989
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.598969
(337.88, 7.52, 335.97) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.06491
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.384264
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605145
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842922
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.099572
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.377349
(337.88, 7.52, 335.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.681494
