¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.45833
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.55012
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.68002
(331.23, 7.36, 367.92) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 16.39004
(331.23, 7.36, 367.92) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.63811
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.862519
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.841474
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.821327
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.838528
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.858483
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.879334
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.901101
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.923801
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.968134
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.066677
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.169994
(331.23, 7.36, 367.92) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.928045
(331.23, 7.36, 367.92) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.095517
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.573175
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.696616
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.901381
(331.23, 7.36, 367.92) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 10.07622
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.94985
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 13.03685
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 13.2219
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.65636
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.51187
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.49771
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.4856
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.5776
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.70878
(331.23, 7.36, 367.92) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 16.4257
(331.23, 7.36, 367.92) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.64449
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.866587
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.845525
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.82536
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.842126
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.862126
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.883022
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.904834
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.927582
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.971415
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.070098
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.173567
(331.23, 7.36, 367.92) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.031264
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.522285
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.570778
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.696287
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.901036
(331.23, 7.36, 367.92) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 10.1619
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.9764
ì(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 13.0638
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 13.24646
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.68736
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.54132
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.52714
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.515
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.60714
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.73946
(331.23, 7.36, 367.92) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 16.46375
(331.23, 7.36, 367.92) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.6535
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.871389
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.850306
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.830122
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.846315
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.866365
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.887314
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.909181
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.931983
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.975112
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.073957
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.177597
(331.23, 7.36, 367.92) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.138201
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.521027
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.569501
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.696793
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.901567
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.99455
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 13.00482
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 13.09266
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 13.27257
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.72073
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.57294
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.55873
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.54656
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.63878
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.77209
(331.23, 7.36, 367.92) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 16.50423
(331.23, 7.36, 367.92) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.66515
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.876928
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.855822
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.835615
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.851098
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.871207
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.892216
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.914144
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.937008
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.979228
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.078251
(331.23, 7.36, 367.92) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.182082
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.474204
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.520873
í(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.569345
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.69813
(331.23, 7.36, 367.92) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.902971
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 13.02691
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 13.03512
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 13.12342
(331.23, 7.36, 367.92) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 13.30023
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.7565
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.60674
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.59249
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.58029
(331.23, 7.36, 367.92) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.67252
