¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.18838
(437.18, 15.13, 251.20) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 20.72347
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.796127
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.998439
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216355
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.451702
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.706609
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.983823
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.285667
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.615974
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.539663
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.972157
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.462655
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02197
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64989
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35075
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15234
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12919
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31696
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65258
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20781
(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.36564
(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.33488
(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.30696
(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.28184
(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.25952
(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.23997
(437.18, 15.13, 251.20) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 20.72151
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.795702
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.997962
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.21584
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.451144
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.706007
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.983015
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.284903
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.148289
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.539882
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.97238
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.460663
