¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
È(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.259947
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.790839
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38795
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82662
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64756
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5702
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6405
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96404
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55767
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31516
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.7712
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12055
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.48557
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.88188
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.31999
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.7802
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.24091
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.87694
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.60171
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.655895
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.843109
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.04273
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.257273
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.488616
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.740324
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.013108
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.308603
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.631283
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.980715
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.364704
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.788984
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.25979
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.790664
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38774
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82307
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64859
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57144
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64188
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95743
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54965
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.09741
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.69906
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.07276
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.436
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.81581
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.21322
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.6294
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.06031
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.68292
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.40001
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.656258
©(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.843465
(377.36, 7.34, 353.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.042956
