¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¿ (431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.039105
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.055798
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.299254
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.51499
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.747034
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997303
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267983
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.56197
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.885542
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.231808
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.571676
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.931205
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.323657
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.753702
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.351385
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.329828
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.309628
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.290621
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.904068
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.885816
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.292604
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.278003
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.264543
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.252212
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.241003
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.230904
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.221912
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.214017
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.207213
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.201496
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.196862
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.193305
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.190827
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.286296
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.501054
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.73203
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.981092
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250475
