¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¶(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.739813
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.91862
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.109956
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.314962
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.535254
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.776187
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.040189
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.326695
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638736
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.979737
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.353939
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.759997
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.211365
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.731387
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30074
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88286
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27356
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69517
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39546
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.418992
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.576489
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.744313
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.92346
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.1151
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.320494
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.541177
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.783795
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.048443
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.335656
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.648477
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.990451
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.365679
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.761924
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.199953
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.747456
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3188
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87086
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26067
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68126
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34022
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.423084
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.58086
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.748968
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.928442
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.120403
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.326202
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.547338
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.791625
(419.06, 13.88, 320.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056867
