¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75268
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72641
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85105
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16447
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69531
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.45115
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.48956
(319.24, 7.00, 369.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.29891
(319.24, 7.00, 369.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.26934
(319.24, 7.00, 369.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.24346
(319.24, 7.00, 369.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.22124
(319.24, 7.00, 369.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.20268
(319.24, 7.00, 369.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.18775
(319.24, 7.00, 369.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.17645
(319.24, 7.00, 369.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.16875
(319.24, 7.00, 369.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.16468
(319.24, 7.00, 369.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.1642
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.016318
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.272269
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.541627
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.837149
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.164901
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.520041
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.912637
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.884989
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37009
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90699
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50434
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17282
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92586
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78035
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75824
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.888
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1988
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.73098
(319.24, 7.00, 369.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.49717
