¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
´(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.750509
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4046
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16383
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04448
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07815
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38001
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.13025
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.36386
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.25799
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.233001
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.350898
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.475655
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.607832
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.748785
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.899391
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.060642
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.233676
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.419799
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.620532
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.838566
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.075569
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.333612
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.615578
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.459806
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.822789
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.228505
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679986
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.185367
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.754747
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40361
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16268
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04315
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07655
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37486
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.10327
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30479
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.06318
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.233366
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.351287
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.476296
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.608514
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.749513
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.900168
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.061473
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.234569
(387.55, 7.12, 357.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.420758
