¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
°(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2136
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98895
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88149
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95066
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21689
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.73871
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48851
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.74616
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.81527
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.805284
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.421072
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.653304
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.904015
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.17549
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.470323
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.791671
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.143154
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.529185
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955042
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.42712
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.953341
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54664
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22803
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00545
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90062
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96403
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23288
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.7581
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55544
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.77628
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.36918
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.807607
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008464
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.655033
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.905899
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.177542
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.472575
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.794097
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.145826
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.532105
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.958275
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.430731
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.957365
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55932
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24244
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02196
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91972
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97736
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24876
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77733
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61989
’(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.80626
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.60386
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.809937
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.010968
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.227373
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.907781
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.17956
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.474792
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.796551
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.148487
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.535057
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.961524
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.43435
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.96712
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57201
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25684
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0385
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93884
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99061
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26453
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79649
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.63387
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.83602
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.71298
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.812273
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.013479
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.230079
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.463867
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181651
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.477035
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.798985
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.151169
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.538021
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.964788
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.437984
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.978359
(393.25, 13.87, 249.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58469
