¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.43589
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.88055
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.65809
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.94966
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.92731
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.837353
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.088506
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.38987
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.647444
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.927734
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.233827
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.5694
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.938866
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.347559
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.814983
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.34584
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.946276
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63032
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37987
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24395
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.25218
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.44369
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.88864
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.66548
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.96368
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.94806
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.831915
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.084995
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.391295
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.648992
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.92942
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.235674
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.57143
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.941105
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.350043
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.816908
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.348009
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.948721
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63312
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38451
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24933
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.25849
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.45121
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.89639
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.67226
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.97709
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.96769
(338.29, 7.13, 315.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.826463
