¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ğ(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.914228
(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.798059
(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.443749
(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.578975
(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.475627
(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.386497
(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.335979
(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.287229
(396.76, 14.56, 309.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.309744
(396.76, 14.56, 309.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.478364
(396.76, 14.56, 309.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.658917
(396.76, 14.56, 309.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.852681
(396.76, 14.56, 309.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.060563
(396.76, 14.56, 309.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.726363
(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.768778
(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.723943
(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.681714
(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.653161
(396.76, 14.56, 309.49) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.628005
