¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.69813
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.54623
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.4847
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.47662
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.51601
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.6395
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.85113
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 17.25388
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.09414
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.250607
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.482976
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.734677
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.007802
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.305151
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.63017
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.986777
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.379665
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.814918
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.928337
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50292
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16218
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92467
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.801
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8186
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01442
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.43944
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 17.3435
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.89569
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.72512
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.64782
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.62872
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.66521
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.78433
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 16.98683
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.12975
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.235901
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.467158
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.717536
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.989171
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.284827
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.60793
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.962327
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.352662
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.785126
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.894515
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46495
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1225
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87925
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74856
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75738
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94196
ˆ(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35249
(443.38, 14.27, 268.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76026
(443.38, 14.27, 268.39) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 17.11163
