¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.807457
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.00022
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.203859
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.422268
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657651
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.911994
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.18766
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.487406
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.81445
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.172657
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.56659
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.001902
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.485261
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.941184
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43024
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12857
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07141
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5677
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11815
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.44664
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.42083
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.39711
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.88499
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 15.36782
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.62687
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.6069
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.5899
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.57586
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.56474
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.55656
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.628964
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.808991
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.000841
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.204003
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.422445
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657825
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.912199
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.187887
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.487645
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.814708
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.172939
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566935
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.002228
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.485636
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.958229
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44906
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16823
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0932
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60787
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.162
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.45388
Ô(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.42804
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.40431
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.8644
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 15.34259
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 17.17647
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.80031
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.78304
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.76874
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.75741
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.74903
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.630463
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.810585
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.00105
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.204272
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.422702
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.658111
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.912509
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.1882
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.488018
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.815131
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.173394
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.567426
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.00279
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.486256
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.975774
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4684
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20818
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08764
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64933
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20725
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.46314
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.43729
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.41353
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.84482
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 15.3186
(439.02, 14.95, 252.31) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 17.14639
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.00059
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.98302
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.96847
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.95691
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.94834
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.631995
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.811867
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.00137
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.204604
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.423072
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.658502
(439.02, 14.95, 252.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.912925
