¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.26696
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.25018
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.23526
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.22221
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.211
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.20164
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.1941
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.1884
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.70158
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.834247
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.975383
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.125796
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.286401
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.458118
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.049901
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.263813
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494447
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.743755
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014046
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.299133
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.608603
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.946737
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317622
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.726181
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.170175
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.668136
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22493
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85149
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39182
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.66434
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.64522
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.6279
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.61236
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.59859
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.58658
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.57632
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.56781
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.56103
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.14031
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.700744
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.833361
