¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
œ!(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.754361
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.022058
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.31836
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.626009
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.966243
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.344465
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.767344
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.243197
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.782557
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.398943
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.11
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.93921
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.08597
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80713
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.367606
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.495929
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.63273
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.781347
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.941994
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.114601
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.305249
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.513876
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.749006
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.018257
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.309792
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.61656
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.955774
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.332801
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.754268
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.22844
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.765775
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.379689
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.08769
