¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.05896
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.03854
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.02071
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.00545
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.99274
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.9826
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.97499
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.96993
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.9674
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.626705
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.815004
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.017349
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.23525
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.47024
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.724458
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.000556
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.302469
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.856261
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.032709
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.432111
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.895581
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.393403
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.952421
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58387
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.25099
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.10859
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.15578
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5094
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97876
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75884
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.95613
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.93332
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.91308
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.89541
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.8803
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.86773
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.85769
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.85018
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.84519
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.84271
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.624766
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.812994
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.015189
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.232921
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.467626
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.721625
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.997474
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.299545
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.636983
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.217195
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.425118
ñ(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.887777
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.3888
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.947241
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.578
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.25883
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12953
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.15805
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48209
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94599
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71877
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.83462
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.812
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.79194
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.77444
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.75947
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.74702
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.73709
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.72967
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.72474
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.72232
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.622919
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.811016
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.013062
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.230628
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.465054
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.718835
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.99444
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.296649
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.633804
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.004787
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.616155
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.880011
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.384276
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.94215
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57223
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26675
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.15019
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16039
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45506
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91357
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.67915
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.71732
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.69489
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.67501
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.65766
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.64283
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.6305
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.62067
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.61333
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.60847
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.6061
·(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.621103
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.80907
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.010968
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.22837
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.462523
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.716091
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.991456
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.293782
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.630657
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.000756
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.413813
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.059283
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.379835
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.937155
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56407
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27475
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.15812
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16281
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42831
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.8815
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.63999
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.60411
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.58187
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.56215
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.54495
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.53025
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.51804
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.5083
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.50105
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.49625
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.49393
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.619318
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.807155
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.00891
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.226152
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.460034
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.713392
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.988522
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.290945
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.627542
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.997007
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.409655
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.865104
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.549153
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.932255
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55316
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28283
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16023
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16529
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40184
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84977
ð(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.60131
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.49487
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.47281
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.45325
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.43619
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.42162
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.40952
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.39988
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.3927
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.38797
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.38569
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.617562
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.805271
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.006885
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.223969
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.457585
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.710739
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.985637
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.288138
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.624458
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.993285
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.405526
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.85939
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.358065
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09756
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55269
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29099
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16241
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16785
