¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ë(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67934
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.44265
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98091
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.99034
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.13875
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33968
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12004
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14738
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.79332
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.169032
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.412473
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.634181
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.865157
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.113899
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.399033
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.701415
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.030252
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.338873
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.656595
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.022481
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.415218
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.833936
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.29617
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81571
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.302
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.82991
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.40016
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.02121
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.70958
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.47636
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02049
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03512
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18985
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.3632
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.14553
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.31639
(361.33, 10.11, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.95347
