¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¬(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.598712
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14436
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75747
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17556
(328.78, 7.44, 373.18) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 11.55309
(328.78, 7.44, 373.18) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 11.00575
(328.78, 7.44, 373.18) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.9732
(328.78, 7.44, 373.18) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.94246
(328.78, 7.44, 373.18) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 11.08648
(328.78, 7.44, 373.18) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 11.33711
(328.78, 7.44, 373.18) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 11.60111
(328.78, 7.44, 373.18) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 12.3443
(328.78, 7.44, 373.18) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 22.3537
(328.78, 7.44, 373.18) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 22.37675
(328.78, 7.44, 373.18) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 19.37996
(328.78, 7.44, 373.18) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 19.09184
(328.78, 7.44, 373.18) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 19.05669
(328.78, 7.44, 373.18) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 19.14708
(328.78, 7.44, 373.18) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 19.49326
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.879444
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.086467
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.309578
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.550684
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282503
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.586272
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.917706
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.280753
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679998
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.121126
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.611048
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15817
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77305
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18057
(328.78, 7.44, 373.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57563
