¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş (377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.47597
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.40836
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.773551
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.177896
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.575917
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.001711
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.492692
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.08894
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.81238
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.72858
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.01908
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.10212
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.44285
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.404723
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.769532
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.163133
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.546616
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.969307
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.46905
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.06215
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.78918
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.69798
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.95937
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.95846
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.38924
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.400704
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.765087
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.13643
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.517232
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.936828
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.444974
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.03487
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.76503
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.66585
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.91124
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.82177
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.31548
(377.71, 7.74, 345.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.396306
