¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.845676
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.839506
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.201027
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.653393
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.648039
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.584755
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.755995
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.939023
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.135022
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.34535
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.571648
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.815758
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.07976
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.273336
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.457078
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.651498
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.857553
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.076238
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.566655
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.545723
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.526027
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.507551
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.490282
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.474204
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.459307
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.445577
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.49025
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.478738
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.468375
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.459153
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.820069
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.812762
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.806634
