¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.04507
(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.07229
(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.10231
(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.13513
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.503793
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.690579
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.889485
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.101657
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.328443
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.714253
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.160097
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.263536
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.258828
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.255356
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.25312
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.252115
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.252343
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.253802
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.256495
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88316
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98183
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.46075
(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.11139
(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.13892
(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.16924
(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.20239
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.444033
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.627093
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.821893
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.029623
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.251452
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.564279
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121285
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.22864
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.22386
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.220312
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.217993
