¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.16437
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.68338
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.78318
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.706355
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.845794
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.977277
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.107936
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.246445
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.393503
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.549894
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.716505
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.894335
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.084522
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.288363
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856363
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.05867
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.274423
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.528004
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.824677
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.146939
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.490335
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.778513
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.088326
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.422262
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.929484
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66772
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52639
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4505
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59157
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87704
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10413
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.25805
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.75375
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.81969
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.72094
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.860942
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.984776
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.115866
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.254844
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.402412
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.559362
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.726584
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.905086
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.096014
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.3008
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.918288
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.124476
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.345393
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.626636
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.93152
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.263058
…(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.624881
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.923997
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.244593
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.6287
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32019
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12047
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72539
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69287
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88106
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17192
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25397
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.2918
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82782
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.91505
(358.70, 10.01, 321.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.735707
