¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ù(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.886765
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.013299
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.144862
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.281778
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.424213
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.572584
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.727168
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.63231
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.99732
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.97705
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.07873
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.1849
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.29566
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.41107
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.53128
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.65637
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.78646
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.92169
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35767
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588048
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.836834
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.104995
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.386666
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.692811
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.945331
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.075936
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.212148
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.3543
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.502741
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.657899
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.778403
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.90053
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.027511
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.159522
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.296871
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.439823
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.588709
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18675
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.62937
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.21023
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.20412
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.30795
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.41632
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.52935
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.64713
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.76974
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.89731
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.357462
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587832
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.836588
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.105978
õ(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.388754
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.695082
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.93915
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.06953
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.205506
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.347394
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.495584
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.650425
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.792743
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.91534
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.042759
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.175258
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.313126
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.456622
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.606049
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74863
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6283
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.7248
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.43909
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.54516
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.65588
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.77126
(383.70, 6.89, 352.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.89148
