¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
â(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863842
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148921
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.461697
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.805639
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.189742
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.627427
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.107232
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.627984
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31856
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05182
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.78132
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.61648
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.5853
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.8421
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.479
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.20994
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.32705
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.13821
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.725768
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.92142
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.131863
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.3588
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601422
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863677
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148741
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.46145
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.805368
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.19046
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.628228
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.108397
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.629291
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32621
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06067
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.78603
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.62135
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.58792
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.8522
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.49708
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.2305
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.35048
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.15011
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.725864
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.921525
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.131975
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.358922
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.6013
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863545
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148598
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.461234
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.80513
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.19117
ë(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.629015
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.109612
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.630816
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33364
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06954
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.79098
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.62631
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.59079
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.86202
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.51502
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.25152
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.37269
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.16328
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.725976
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.921644
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132103
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35906
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601208
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863445
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148489
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.461046
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.804924
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.191863
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.629789
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.110871
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.63707
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34085
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07844
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.79616
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.63136
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.5939
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.87154
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.53282
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.27299
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.38917
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.19369
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.7261
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.921778
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132248
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.359131
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601147
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863379
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148417
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460891
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.804753
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.192547
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.630548
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.11218
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.643133
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34785
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08735
î(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80157
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.63651
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.59726
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.88078
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.55048
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.29493
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.40598
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.23087
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.726239
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.921926
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132407
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.359103
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601115
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863344
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148379
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460763
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.804614
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.193216
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.631294
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.113534
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.649004
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35463
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0963
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80721
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.64176
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.60086
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.88971
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.56798
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.31733
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.42309
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.26855
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.72639
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.922088
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132583
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.359102
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601116
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863344
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148379
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460666
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.804507
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.193872
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.632026
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.114932
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.654686
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36119
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10526
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.81309
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6471
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.60471
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.89835
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.58534
é(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.34018
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.44051
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.27683
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.726554
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.922265
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132772
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35913
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601145
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863376
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148415
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460597
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.804432
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.194517
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.632742
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.11638
