¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
î(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.937944
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.841623
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.748591
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.658731
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.721622
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.892123
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 10.07024
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 10.25645
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 10.69441
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.50348
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.28838
(378.00, 15.86, 292.42) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.16172
(378.00, 15.86, 292.42) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.09397
(378.00, 15.86, 292.42) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.02884
(378.00, 15.86, 292.42) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.96628
(378.00, 15.86, 292.42) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.90624
(378.00, 15.86, 292.42) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.84865
(378.00, 15.86, 292.42) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.79348
(378.00, 15.86, 292.42) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.74067
(378.00, 15.86, 292.42) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.69019
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.736977
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.977415
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.236777
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.517299
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.810137
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.120291
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.457437
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.825142
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.231909
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.683292
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16596
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.964314
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.867549
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.774091
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.68382
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.736198
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 10.21939
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 10.71343
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31322
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26805
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.47826
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32964
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.58718
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.95893
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.720726
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.959895
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.217857
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.496795
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.791032
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.099551
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.434887
Ò(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.800505
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.200712
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.649148
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12893
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66491
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.895264
(378.00, 15.86, 292.42) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 9.801352
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.91978
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 10.02736
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 10.13883
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 10.69021
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.10887
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03891
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.1423
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.37303
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.45931
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.85529
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.704485
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.942428
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.19899
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476401
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.772045
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.078983
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.412458
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.776031
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.173867
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.613273
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09345
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.783328
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.511407
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.580711
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.679081
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.780967
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 10.06743
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 10.66757
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9884
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81681
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83547
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.24482
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.41878
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.75428
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.68837
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.925049
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.180198
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.456078
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.753191
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.058541
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.390239
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.751757
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.147278
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.581717
à(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.675104
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.254499
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.267486
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.357606
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.450919
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.547551
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 10.04781
(378.00, 15.86, 292.42) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 10.64549
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94553
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62045
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.59321
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.88231
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.3842
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.65589
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.672261
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.907745
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.161499
(378.00, 15.86, 292.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.435829
