¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ñ(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.124574
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.432802
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.732678
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.078027
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.444705
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.784704
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.235891
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.943051
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58194
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.90204
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31711
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68764
(339.31, 6.96, 312.42) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.85508
(339.31, 6.96, 312.42) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.829
(339.31, 6.96, 312.42) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.72515
(339.31, 6.96, 312.42) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 18.73642
(339.31, 6.96, 312.42) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 19.20602
(339.31, 6.96, 312.42) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 20.77292
(339.31, 6.96, 312.42) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 20.63607
(339.31, 6.96, 312.42) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 20.62626
(339.31, 6.96, 312.42) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 20.79464
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.726887
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.911002
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.117324
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.339551
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.579019
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.834791
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.116828
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.42496
(339.31, 6.96, 312.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.728882
